subject	sample
HG00731	HG00731-200-37-ASM
HG00732	HG00732-200-37-ASM
NA06985	NA06985-200-37-ASM
NA06994	NA06994-200-37-ASM
NA07357	NA07357-200-37-ASM
NA10851	NA10851-200-37-ASM
NA12004	NA12004-200-37-ASM
NA12889	NA12889-200-37-ASM
NA12890	NA12890-200-37-ASM
NA12891	NA12891-200-37-ASM
NA12892	NA12892-200-37-ASM
NA18501	NA18501-200-37-ASM
NA18502	NA18502-200-37-ASM
NA18504	NA18504-200-37-ASM
NA18505	NA18505-200-37-ASM
NA18508	NA18508-200-37-ASM
NA18517	NA18517-200-37-ASM
NA18526	NA18526-200-37-ASM
NA18537	NA18537-200-37-ASM
NA18555	NA18555-200-37-ASM
NA18558	NA18558-200-37-ASM
NA18940	NA18940-200-37-ASM
NA18942	NA18942-200-37-ASM
NA18947	NA18947-200-37-ASM
NA18956	NA18956-200-37-ASM
NA19017	NA19017-200-37-ASM
NA19020	NA19020-200-37-ASM
NA19025	NA19025-200-37-ASM
NA19026	NA19026-200-37-ASM
NA19129	NA19129-200-37-ASM
NA19238	NA19238-200-37-ASM
NA19239	NA19239-200-37-ASM
NA19648	NA19648-200-37-ASM
NA19649	NA19649-200-37-ASM
NA19669	NA19669-200-37-ASM
NA19670	NA19670-200-37-ASM
NA19700	NA19700-200-37-ASM
NA19701	NA19701-200-37-ASM
NA19703	NA19703-200-37-ASM
NA19704	NA19704-200-37-ASM
NA19735	NA19735-200-37-ASM
NA19834	NA19834-200-37-ASM
NA20502	NA20502-200-37-ASM
NA20509	NA20509-200-37-ASM
NA20510	NA20510-200-37-ASM
NA20511	NA20511-200-37-ASM
NA20845	NA20845-200-37-ASM
NA20846	NA20846-200-37-ASM
NA20847	NA20847-200-37-ASM
NA20850	NA20850-200-37-ASM
NA21732	NA21732-200-37-ASM
NA21733	NA21733-200-37-ASM
NA21737	NA21737-200-37-ASM
NA21767	NA21767-200-37-ASM
